,scene_token,sample_token
0,41bdc6cc36d768bb74315128a329e7c6554bd2a6ad6bfc6f126528c9ea09dec5,cea0bba4b425537cca52b17bf81569a20da1ca6d359f33227f0230d59d9d2881
1,41bdc6cc36d768bb74315128a329e7c6554bd2a6ad6bfc6f126528c9ea09dec5,b71497fc753ec107ca1ca6427f2513c550835aa244504550a5b0e2edd341f57d
2,41bdc6cc36d768bb74315128a329e7c6554bd2a6ad6bfc6f126528c9ea09dec5,a08fd30ea0eb4885e0e5d8e6bb860414c56785cab98f1cb3fa02fff281b198b3
3,41bdc6cc36d768bb74315128a329e7c6554bd2a6ad6bfc6f126528c9ea09dec5,94d284023565ca6b141e7c61c8cf627a2c3342a8340f6b50b409de06aef9aa8b
4,41bdc6cc36d768bb74315128a329e7c6554bd2a6ad6bfc6f126528c9ea09dec5,7e630b13980f00a134d8f44a3ceb7b65f68db01aa9f4ec0f160a3eac6f47a793
5,41bdc6cc36d768bb74315128a329e7c6554bd2a6ad6bfc6f126528c9ea09dec5,e3ff7a4635d6268437e38cc2d19f4c6bd6f9dbfd9f972c3213c4a1793f752505
6,41bdc6cc36d768bb74315128a329e7c6554bd2a6ad6bfc6f126528c9ea09dec5,7f0a28502f9361e9c2fe8e6e57f6449e0fd7a544028b0cca505e7f55dd2aff37
7,41bdc6cc36d768bb74315128a329e7c6554bd2a6ad6bfc6f126528c9ea09dec5,4023e742a944aabd058fdacb2aa13eb2aea6da728c60ad0bc7979de1f2aad60a
8,41bdc6cc36d768bb74315128a329e7c6554bd2a6ad6bfc6f126528c9ea09dec5,88e44fc8a1f8379cef1a1472c4d55f91c0c1e5baf35b6a8b91a839c0c4379a31
9,41bdc6cc36d768bb74315128a329e7c6554bd2a6ad6bfc6f126528c9ea09dec5,230debbca6a3eb23dc9aa74ab28fe6bd668e4b33269cb6f5ac3c4c6b7e0a5d9c
10,41bdc6cc36d768bb74315128a329e7c6554bd2a6ad6bfc6f126528c9ea09dec5,c8ccd4e5f17cd37ec5cc86a64efcb0bd5e50db23db9894fe45e263e5c577cdf3
11,41bdc6cc36d768bb74315128a329e7c6554bd2a6ad6bfc6f126528c9ea09dec5,223bb75f4401d323ed1823604c9a299d6d8f752c74d6ce4817ec2b168c2e6bd9
12,41bdc6cc36d768bb74315128a329e7c6554bd2a6ad6bfc6f126528c9ea09dec5,90948533a5af86055c3a176107b80068026c89447c68163dde5ba069c5e306a4
13,41bdc6cc36d768bb74315128a329e7c6554bd2a6ad6bfc6f126528c9ea09dec5,0030dd72be8bc509f9fb116e4a937a83d17e374cc4822cfd0543826ca4c6777f
14,41bdc6cc36d768bb74315128a329e7c6554bd2a6ad6bfc6f126528c9ea09dec5,75a9e60d9462ea6691d764891eecb58b331735d7edfbedd7abf33b1f667bc243
15,41bdc6cc36d768bb74315128a329e7c6554bd2a6ad6bfc6f126528c9ea09dec5,2b9d8457f4b426ddc1800ba49d6591869f01b36aa7dca2601a797be1ee544c94
16,41bdc6cc36d768bb74315128a329e7c6554bd2a6ad6bfc6f126528c9ea09dec5,92dbc7e5f01d12bb16a7d6581323d765559604f2a41cc5d42087d88dfb517c6c
17,41bdc6cc36d768bb74315128a329e7c6554bd2a6ad6bfc6f126528c9ea09dec5,c4ac469c2335e98a7abb8239889422b36213627f5f7da272224f1709d83ac583
